SY
3601
16
happy;elated;excited;alert;tense;nervous;stressed;upset;sad;unhappy;depressed;bored;calm;relaxed;serene;contented
5b4428b01f22a65d36385393Alerta;0:0.280692999547;1:0.3222315294;2:0.367121079693;3:0.399202794517;4:0.364703369758;5:0.319690183664;6:0.278575247629;7:0.246043125453;8:0.204382494394;9:0.192447498141;10:0.185020455566;11:0.181498741106;12:0.185333816162;13:0.192997693974;14:0.205214437354;15:0.222978888377;0.0
5b4428b01f22a65d36385394Alerta;0:0.271451209308;1:0.281014308401;2:0.287354387512;3:0.289068576238;4:0.278166222755;5:0.267933043954;6:0.256771202823;7:0.246072172991;8:0.22932427433;9:0.22403786178;10:0.220993862212;11:0.220225081799;12:0.225517858049;13:0.231518580851;14:0.239600640631;15:0.249443752478;0.0
5b4428b01f22a65d36385396Feliz;0:0.343519254111;1:0.322079765186;2:0.29416652376;3:0.266924512552;4:0.225414731817;5:0.211791122294;6:0.202365158151;7:0.196691603628;8:0.195590350327;9:0.200103104617;10:0.208252009857;11:0.220439718984;12:0.258771499419;13:0.284897550126;14:0.31318706366;15:0.33775163829;0.0
5b44267a1f22a65c247a2e95Tenso;0:0.326876318263;1:0.297653809055;2:0.26906755254;3:0.244785479132;4:0.211476171628;5:0.201618709429;6:0.195610031885;7:0.193117655888;8:0.198305022439;9:0.206278509397;10:0.218344720935;11:0.235054576806;12:0.283660868558;13:0.313295138681;14:0.339940312564;15:0.354115667694;0.0
5b44267a1f22a65c247a2e97Alerta;0:0.294944559667;1:0.355678436581;2:0.427846540452;3:0.476247625609;4:0.385437747524;5:0.318141131599;6:0.267410241909;7:0.231605614726;8:0.189708520817;9:0.178524189756;10:0.171958478199;11:0.169339940771;12:0.175276544219;13:0.184423976174;14:0.198822925207;15:0.220118648471;0.0
5b44267a1f22a65c247a2e98Nervioso;0:0.27158967158;1:0.256923557002;2:0.24345962495;3:0.232153482635;4:0.217359897655;5:0.213986296169;6:0.213265940684;7:0.215190698017;8:0.227060375061;9:0.236994423468;10:0.249359245641;11:0.26353207377;12:0.291266523638;13:0.29995057829;14:0.301964732633;15:0.29671438092;0.0
5b44267a1f22a65c247a2e9bFeliz;0:0.354406386791;1:0.333507644945;2:0.303603184531;3:0.273642428028;4:0.227697732398;5:0.212552367227;6:0.201932777137;7:0.195284856158;8:0.192580436084;9:0.196363991716;10:0.203801465307;11:0.215313666079;12:0.252883468566;13:0.279611382837;14:0.310067768536;15:0.338969849941;0.0
5b4428a71f22a65d114253f7Transtornado;0:0.240748881019;1:0.22676453799;2:0.216259878354;3:0.209109850556;4:0.204227577469;5:0.206342801601;6:0.211554547132;7:0.220013032878;8:0.247239764365;9:0.265694004865;10:0.28594159573;11:0.305091981379;12:0.322131388946;13:0.314256414837;14:0.297893453464;15:0.277844131801;0.0
5b4428a71f22a65d114253f8Excitado;0:0.312485149359;1:0.345223453766;2:0.366420010514;3:0.365022319127;4:0.308617184253;5:0.275835449922;6:0.248226900486;7:0.226712007536;8:0.199666867065;9:0.192686663179;10:0.189400626735;11:0.189595062778;12:0.200702975012;13:0.212327607157;14:0.228843911988;15:0.25103307377;0.0
5b4428a71f22a65d114253f9Alerta;0:0.308107449587;1:0.339809010474;2:0.361321385314;3:0.362014702708;4:0.310063509508;5:0.278091498436;6:0.250664853872;7:0.229037476598;8:0.201500503869;9:0.194246678054;10:0.190680753941;11:0.190579228215;12:0.200960700537;13:0.212083789233;14:0.227933750073;15:0.249220070143;0.0
